"Year","EarlyLateMid.x","Site","meanDBH","sumDBH","Total_Basal_Area","count_all","count","count_SM","SM_BA","RatioSM_BA","RatioSM_count","SM_Importance200","Agency","Method","GV_mCC","GV_sumNn","GV_sumN","GV_ShannonDiv","GV_ShannonEven","GV_FQI","GV_FQAI","EarlyLateMid.y","BA_ShannonDiv","BA_ShannonEven","YearSite"
2008,"Early","FV-1",20.5365217391304,472.34,0.8428610626,23,23,0,0,0,0,0,"TRCA","Cover",4.4,6,12,0.508047686183737,0.43148118086103,0.846780394811451,2.2,"Early",0.257799841588591,0.0822198428174093,"2008 FV-1"
2008,"Early","FV-10",20.3666666666667,488.8,0.94708837,24,24,0,0,0,0,0,"TRCA","Cover",27.6,33,45,1.52812045232531,0.723014554393969,1.71450899620622,9.06451706988797,"Early",1.24209278836551,0.390834408311305,"2008 FV-10"
2008,"Early","FV-11",25.3962962962963,685.7,1.601311295,27,27,17,0.68096552,0.425254928336717,0.62962962962963,105.488455796635,"TRCA","Cover",19.1,38,40,0.809842823463336,0.569874077686469,2.88001307028532,9.35863707138811,"Early",1.0428892868617,0.316426245976803,"2008 FV-11"
2008,"Early","FV-12",24.0590909090909,529.3,1.204839195,22,22,14,0.59564544,0.494377542224629,0.636363636363636,113.074117858826,"TRCA","Cover",13.3333333333333,9,16,1.29399324146994,0.842821162696843,3.22520190931599,5.63680150169959,"Early",1.08696217445339,0.351649060423756,"2008 FV-12"
2008,"Early","FV-13",36.1666666666667,434,1.42763711,12,12,10,1.164438385,0.815640317027063,0.833333333333333,164.89736503604,"TRCA","Cover",5.2,6,6,0.127302833658963,0.183659166810898,4.03639610306789,4.67279220613579,"Early",0.595209303072608,0.239529844359903,"2008 FV-13"
2008,"Early","FV-14",31.3727272727273,345.1,1.097670995,11,11,7,0.788051295,0.717930325743918,0.636363636363636,135.429396210755,"TRCA","Cover",9.4,10,15,0.624566085200832,0.507445860257965,3.35887598127446,5.4094010767585,"Early",0.63465714070185,0.264672585121367,"2008 FV-14"
2008,"Early","FV-15",46.6727272727273,513.4,2.29207754,11,11,2,0.02572916,0.0112252572397703,0.181818181818182,19.3043439057952,"TRCA","Cover",7.5,7,8,0.519860385419959,0.5,4.21875,5.25888347648318,"Early",0.646632417229769,0.269666663329772,"2008 FV-15"
2008,"Early","FV-16",15.8456140350877,903.2,1.37698734,57,57,6,0.081262415,0.0590146420663533,0.105263157894737,16.427779996109,"TRCA","Cover",10.3333333333333,22,29,0.811116097889098,0.596920192897229,2.78834501835633,5.4132571027465,"Early",2.08230147921695,0.515032172800575,"2008 FV-16"
2008,"Early","FV-17",20.5257352941176,1395.75,2.43233996625,68,68,2,0.087977305,0.0361698225662249,0.0294117647058824,6.55815872721073,"TRCA","Cover",5,2,3,0.205058159144204,0.295836389291164,5,4.26776695296637,"Early",0.581460403482826,0.137802901217491,"2008 FV-17"
2008,"Early","FV-18",20.4894736842105,389.3,0.788982305,19,19,0,0,0,0,0,"TRCA","Cover",33,91,115,1.96316899550486,0.802256343914551,1.20150446662796,9.64251836071833,"Early",0.961784500570337,0.326644398941701,"2008 FV-18"
2008,"Early","FV-19",26.66875,426.7,1.229271535,16,16,6,0.85984504,0.699475270937596,0.375,107.44752709376,"TRCA","Cover",20.2,23,27,1.21653987676988,0.718681378792076,2.16479098994281,8.59201930753695,"Early",1.04542219824509,0.377056355260858,"2008 FV-19"
2008,"Early","FV-2",30.1214285714286,421.7,1.201933125,14,14,13,1.175356165,0.977888154135031,0.928571428571429,190.645958270646,"TRCA","Cover",6.5,6,6,0.13898712470177,0.200516035554659,3.59099025766973,5.18198051533946,"Early",0.106147992960268,0.0402219352225072,"2008 FV-2"
2008,"Early","FV-20",38.2846153846154,497.7,1.894219915,13,13,8,1.318948365,0.696301603924379,0.615384615384615,131.168621930899,"TRCA","Cover",14.5,12,12,0.643184476285973,0.555359808819544,3.02776115063313,7.9246553237161,"Early",0.92505041044294,0.360650555439597,"2008 FV-20"
2008,"Early","FV-21",30.3368421052632,576.4,1.65838786,19,19,11,0.697335125,0.420489767092241,0.578947368421053,99.9437135513294,"TRCA","Cover",13.8,15,17,1.06057697011287,0.944413848786058,2.76194921648305,7.44010730213629,"Early",1.5351746482783,0.521381036978698,"2008 FV-21"
2008,"Early","FV-4",31.16,467.4,1.56838447,15,15,5,0.3899095,0.24860581538403,0.333333333333333,58.1939148717363,"TRCA","Cover",12.4,15,22,0.795799589374586,0.546404197827826,3.57055572438163,5.74412758074721,"Early",0.973819903724416,0.359601865330288,"2008 FV-4"
2008,"Early","FV-5",33.0133333333333,495.2,1.50175053,15,15,4,0.61183371,0.407413680087065,0.266666666666667,67.4080346753732,"TRCA","Cover",8,10,12,0.527745204244685,0.34968727240437,3.10037023329768,4.93108350559987,"Early",1.23225043377596,0.455032345144275,"2008 FV-5"
2008,"Early","FV-6",22.3111111111111,602.4,1.37617722,27,27,17,0.63043036,0.458102598152293,0.62962962962963,108.773222778192,"TRCA","Cover",8,14,14,0.338970887746008,0.431289233101273,3.59697208852117,5.90573183406963,"Early",1.1379869038678,0.345280106429366,"2008 FV-6"
2008,"Early","FV-7",22.147619047619,465.1,1.136002545,21,21,18,0.43523383,0.38312751315183,0.857142857142857,124.027037029469,"TRCA","Cover",7.8,9,9,0.390061837429054,0.459980254718398,3.3087211190881,5.59479250736583,"Early",0.665574458585463,0.218613747213226,"2008 FV-7"
